ID,Date,Entry,Exit,Mode
00000019,14040221,07:58,17:04,paired
00000019,14040222,18:00,18:00,fallback
00000019,14040223,07:54,17:00,paired
00000019,14040208,10:02,17:02,paired
00000019,14040215,17:00,17:00,fallback
00000019,14040224,16:31,16:31,fallback
00000019,14040228,07:58,17:00,paired
00000019,14040229,10:02,18:00,paired
00000019,14040231,08:55,17:30,paired
00000019,14040227,10:06,18:00,paired
00000019,14040230,07:46,17:00,paired
00000016,14040202,08:07,17:13,paired
00000016,14040203,08:04,17:08,paired
00000016,14040206,08:01,17:07,paired
00000016,14040201,10:00,17:06,paired
00000016,14040207,08:10,17:18,paired
00000016,14040209,07:59,17:00,paired
00000016,14040210,08:02,17:03,paired
00000016,14040213,08:03,17:04,paired
00000016,14040214,07:59,17:00,paired
00000016,14040216,07:56,17:23,paired
00000016,14040217,08:06,17:07,paired
00000016,14040220,11:23,18:01,paired
00000016,14040221,08:07,17:08,paired
00000016,14040222,18:00,18:00,fallback
00000016,14040208,16:59,16:59,fallback
00000016,14040215,10:31,17:00,paired
00000016,14040223,08:56,17:00,paired
00000016,14040224,17:56,17:56,fallback
00000016,14040227,09:58,18:00,paired
00000016,14040228,08:00,17:01,paired
00000016,14040229,09:59,18:01,paired
00000016,14040231,10:07,18:06,paired
00000016,14040230,07:59,17:10,paired
00000059,14040202,08:09,17:19,paired
00000059,14040203,08:12,18:07,paired
00000059,14040206,08:14,17:23,paired
00000059,14040207,07:57,17:06,paired
00000059,14040201,17:10,17:10,fallback
00000059,14040209,07:56,17:05,paired
00000059,14040210,08:00,17:07,paired
00000059,14040214,07:57,17:08,paired
00000059,14040215,17:09,17:09,fallback
00000059,14040216,08:00,17:11,paired
00000059,14040217,08:02,17:07,paired
00000059,14040221,08:30,17:41,paired
00000059,14040208,14:41,14:41,fallback
00000059,14040213,08:16,17:18,paired
00000059,14040220,17:33,17:33,fallback
00000059,14040222,16:32,16:32,fallback
00000059,14040227,10:03,18:04,paired
00000059,14040228,08:11,17:13,paired
00000059,14040229,10:21,18:57,paired
00000059,14040230,08:05,18:05,paired
00000059,14040231,09:54,18:08,paired
00000038,14040202,08:10,17:25,paired
00000038,14040203,08:25,17:36,paired
00000038,14040206,08:34,17:11,paired
00000038,14040201,10:16,17:35,paired
00000038,14040207,08:19,17:07,paired
00000038,14040209,08:18,17:20,paired
00000038,14040210,08:09,17:29,paired
00000038,14040214,08:29,17:10,paired
00000038,14040215,17:15,17:15,fallback
00000038,14040216,08:21,17:18,paired
00000038,14040217,08:15,17:10,paired
00000038,14040220,10:11,18:02,paired
00000038,14040221,08:16,17:20,paired
